exemplar,category,typicality_rating,rank,rowwise_similarity,bundles
taxi,vehicles,17.5,7,0.8315789473684211,4
tractor,vehicles,12.1071428571428,19,0.8279569892473119,4
tram,vehicles,16.5714285714285,13,0.8333333333333334,4
train,vehicles,17.5357142857142,6,0.8064516129032258,4
airplane,vehicles,15.0357142857142,14,0.8061224489795918,4
truck,vehicles,17.8928571428571,5,0.9545454545454546,4
Zeppelin,vehicles,8.37037037037037,27,0.6702127659574468,4
bra,clothing,13.6785714285714,17,0.7195121951219512,2
blouse,clothing,17.4285714285714,8,0.868421052631579,2
pants,clothing,18.25,2,0.8589743589743589,2
tie,clothing,12.9285714285714,20,0.7468354430379747,2
shirt,clothing,18.0714285714285,3,0.8701298701298701,2
hat,clothing,11.2142857142857,27,0.7702702702702703,2
coat,clothing,17.7857142857142,6,0.7625,2
jeans,clothing,18.0,4,0.7733333333333333,2
tracksuit,clothing,15.5357142857142,14,0.8026315789473685,2
dress,clothing,17.0357142857142,10,0.8933333333333333,2
suit,clothing,17.0357142857142,11,0.7948717948717948,2
boots,clothing,12.5357142857142,21,0.65,2
beanie,clothing,11.4642857142857,26,0.7922077922077922,2
cap,clothing,11.9285714285714,24,0.7763157894736842,2
pyjamas,clothing,13.1071428571428,19,0.8552631578947368,2
belt,clothing,10.8571428571428,29,0.6538461538461539,2
skirt,clothing,17.8214285714285,5,1.0,2
dungarees,clothing,14.2307692307692,16,0.8857142857142857,2
shoes,clothing,12.3571428571428,22,0.6875,2
shorts,clothing,16.6785714285714,13,0.8533333333333334,2
scarf,clothing,12.0,23,0.7654320987654321,2
panties,clothing,13.6428571428571,18,0.7848101265822784,2
socks,clothing,14.4285714285714,15,0.7804878048780488,2
sweater,clothing,17.3214285714285,9,0.8783783783783784,2
t-shirt,clothing,16.9642857142857,12,0.868421052631579,2
top,clothing,18.2857142857142,1,0.8904109589041096,2
pullover,clothing,17.7857142857142,7,0.8333333333333334,2
mittens,clothing,11.2142857142857,28,0.7721518987341772,2
bathing suit,clothing,11.8214285714285,25,0.7160493827160493,2
can opener,kitchen utensils,15.8214285714285,18,0.65,1
plate,kitchen utensils,16.1785714285714,16,0.6538461538461539,1
toaster,kitchen utensils,15.4642857142857,20,0.6351351351351351,1
bottle,kitchen utensils,11.7857142857142,32,0.5287356321839081,1
stove,kitchen utensils,18.4642857142857,1,0.5813953488372093,1
fridge,kitchen utensils,15.8214285714285,19,0.5647058823529412,1
glass,kitchen utensils,14.3214285714285,26,0.5833333333333334,1
towel,kitchen utensils,12.3928571428571,28,0.5542168674698795,1
kettle,kitchen utensils,14.8214285714285,23,0.7857142857142857,1
whisk,kitchen utensils,16.9285714285714,7,0.75,1
percolator,kitchen utensils,16.7777777777777,9,0.5921052631578947,1
bowl,kitchen utensils,15.8928571428571,17,0.6794871794871795,1
