label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
93,4,clothing,4,29,100.0,13.79,24.24,1,1,0.015152,4,0,0,0,0,0,0
94,12,clothing,12,29,100.0,41.38,58.54,1,1,0.015152,12,0,0,0,0,0,0
95,1,clothing,1,29,100.0,3.45,6.67,1,1,0.006887,1,0,0,0,0,0,0
96,20,musical instruments,16,26,80.0,61.54,69.57,1,1,0.006887,2,1,16,0,0,0,1
97,2,weapons,2,18,100.0,11.11,20.0,1,1,0.006887,0,0,0,0,0,2,0
98,25,clothing,25,29,100.0,86.21,92.59,1,1,0.205234,25,0,0,0,0,0,0
99,20,musical instruments,15,26,75.0,57.69,65.22,1,1,0.205234,3,1,15,0,0,0,1
100,9,musical instruments,9,26,100.0,34.62,51.43,2,2,0.108127,0,0,9,0,0,0,0
101,10,musical instruments,8,26,80.0,30.77,44.44,2,2,0.108127,1,1,8,0,0,0,0
102,2,tools,2,28,100.0,7.14,13.33,1,1,0.205234,0,0,0,2,0,0,0
103,9,tools,7,28,77.78,25.0,37.84,1,1,0.205234,0,0,0,7,0,2,0
104,18,tools,10,28,55.56,35.71,43.48,1,1,0.006887,0,2,0,10,2,4,0
105,1,tools,1,28,100.0,3.57,6.9,1,1,0.006887,0,0,0,1,0,0,0
106,10,weapons,5,18,50.0,27.78,35.71,1,1,0.006887,0,0,0,4,0,5,1
107,1,weapons,1,18,100.0,5.56,10.53,1,1,0.004132,0,0,0,0,0,1,0
108,23,tools,13,28,56.52,46.43,50.98,2,2,0.146006,0,2,0,13,2,5,1
109,20,tools,10,28,50.0,35.71,41.67,2,2,0.0,0,1,0,10,2,6,1
110,2,vehicles,2,28,100.0,7.14,13.33,1,1,0.001377,0,0,0,0,2,0,0
111,15,vehicles,13,28,86.67,46.43,60.47,1,1,0.001377,0,0,0,0,13,0,2
112,3,vehicles,3,28,100.0,10.71,19.35,1,1,0.019284,0,0,0,0,3,0,0
113,9,vehicles,8,28,88.89,28.57,43.24,1,1,0.019284,0,0,0,0,8,0,1
