attribute,category,bundles,bundle_specific_attribute,normalized_freq,importance_rating,columnwise_similarity
has large eyes,insects,"1, 2, 3, 4, 5",False,0.045175,,0.286822
has large eyes,mammals,"1, 2, 3, 4, 5",False,0.045175,,0.286822
has large eyes,reptiles,"1, 2, 3, 4, 5",False,0.045175,3.833333,0.286822
is brown,birds,,False,0.482546,3.250000,0.000000
is brown,fish,,False,0.482546,3.750000,0.000000
is brown,insects,,False,0.482546,4.166667,0.000000
is brown,mammals,,False,0.482546,2.666667,0.000000
is brown,reptiles,,False,0.482546,4.500000,0.000000
has claws,birds,"4, 5",False,0.067762,4.416667,0.096386
has claws,mammals,"4, 5",False,0.067762,4.000000,0.096386
has claws,reptiles,"4, 5",False,0.067762,4.750000,0.096386
blows up its cheeks,reptiles,,False,0.006160,3.750000,0.000000
jumps,birds,,False,0.112936,4.083333,0.000000
jumps,fish,,False,0.112936,,0.000000
jumps,insects,,False,0.112936,,0.000000
jumps,mammals,,False,0.112936,4.000000,0.000000
jumps,reptiles,,False,0.112936,3.833333,0.000000
can become pest,insects,2,True,0.012320,5.583333,0.030769
can become pest,mammals,2,True,0.012320,,0.030769
can become pest,reptiles,2,True,0.012320,,0.030769
is orange,birds,5,True,0.022587,,0.052632
is orange,fish,5,True,0.022587,4.583333,0.052632
is orange,mammals,5,True,0.022587,,0.052632
is orange,reptiles,5,True,0.022587,,0.052632
can have different colors,birds,"3, 4, 5",False,0.117043,5.333333,0.348214
can have different colors,fish,"3, 4, 5",False,0.117043,5.416667,0.348214
can have different colors,insects,"3, 4, 5",False,0.117043,5.083333,0.348214
can have different colors,mammals,"3, 4, 5",False,0.117043,4.583333,0.348214
can have different colors,reptiles,"3, 4, 5",False,0.117043,5.416667,0.348214
has rings,birds,,False,0.002053,,0.000000
has rings,insects,,False,0.002053,,0.000000
has rings,reptiles,,False,0.002053,3.583333,0.000000
cartoon figure,birds,,False,0.053388,3.583333,0.000000
cartoon figure,fish,,False,0.053388,,0.000000
cartoon figure,insects,,False,0.053388,,0.000000
cartoon figure,mammals,,False,0.053388,2.583333,0.000000
cartoon figure,reptiles,,False,0.053388,,0.000000
has a big bill,birds,,False,0.036961,3.916667,0.000000
has a big bill,fish,,False,0.036961,4.083333,0.000000
has a big bill,mammals,,False,0.036961,,0.000000
has a big bill,reptiles,,False,0.036961,,0.000000
is big,birds,"4, 5",False,0.704312,2.750000,0.210526
is big,fish,"4, 5",False,0.704312,3.500000,0.210526
is big,mammals,"4, 5",False,0.704312,3.750000,0.210526
is big,reptiles,"4, 5",False,0.704312,4.166667,0.210526
is a symbol for peace,birds,"1, 2, 4, 5",False,0.018480,4.083333,0.009901
is a symbol for peace,insects,"1, 2, 4, 5",False,0.018480,,0.009901
has warts,birds,5,True,0.002053,,0.055556
has warts,fish,5,True,0.002053,,0.055556
has warts,reptiles,5,True,0.002053,4.000000,0.055556
loves wood,birds,,False,0.000000,,0.000000
loves wood,insects,,False,0.000000,,0.000000
loves wood,mammals,,False,0.000000,2.333333,0.000000
likes humidity,birds,,False,0.000000,,0.000000
likes humidity,fish,,False,0.000000,,0.000000
likes humidity,insects,,False,0.000000,4.583333,0.000000
likes humidity,mammals,,False,0.000000,,0.000000
likes humidity,reptiles,,False,0.000000,,0.000000
doesn't herd,birds,4,True,0.000000,,0.097345
doesn't herd,fish,4,True,0.000000,2.916667,0.097345
doesn't herd,insects,4,True,0.000000,,0.097345
doesn't herd,mammals,4,True,0.000000,,0.097345
doesn't herd,reptiles,4,True,0.000000,,0.097345
has downy hair,birds,5,True,0.000000,5.166667,0.000000
has downy hair,mammals,5,True,0.000000,,0.000000
"is grey, brown or white",birds,4,True,0.018480,,0.198113
"is grey, brown or white",fish,4,True,0.018480,,0.198113
"is grey, brown or white",insects,4,True,0.018480,,0.198113
"is grey, brown or white",mammals,4,True,0.018480,3.416667,0.198113
"is grey, brown or white",reptiles,4,True,0.018480,,0.198113
tickles,insects,"2, 5",False,0.020534,3.833333,0.018182
tickles,mammals,"2, 5",False,0.020534,,0.018182
is expensive,birds,"1, 5",False,0.008214,,0.085106
is expensive,fish,"1, 5",False,0.008214,4.000000,0.085106
is expensive,mammals,"1, 5",False,0.008214,,0.085106
is expensive,reptiles,"1, 5",False,0.008214,,0.085106
