label,n_animals,dominant_category,dominant_count,dominant_category_total,purity_percent,dominant_recall_percent,dominant_f1_percent,n_features,mapped_feature_count,avg_feature_freq_weight,clothing,kitchen utensils,musical instruments,tools,vehicles,weapons,unknown
22,18,musical instruments,16,26,88.89,61.54,72.73,1,1,0.0,1,0,16,0,0,0,1
23,9,clothing,9,29,100.0,31.03,47.37,1,1,0.176471,9,0,0,0,0,0,0
24,3,clothing,3,29,100.0,10.34,18.75,1,1,0.176471,3,0,0,0,0,0,0
25,4,clothing,4,29,100.0,13.79,24.24,2,2,0.102941,4,0,0,0,0,0,0
26,10,clothing,10,29,100.0,34.48,51.28,1,1,0.176471,10,0,0,0,0,0,0
27,1,weapons,1,18,100.0,5.56,10.53,4,4,0.036765,0,0,0,0,0,1,0
28,1,kitchen utensils,1,33,100.0,3.03,5.88,5,5,0.123529,0,1,0,0,0,0,0
29,13,tools,8,28,61.54,28.57,39.02,24,24,0.144608,0,1,0,8,0,3,1
30,2,kitchen utensils,2,33,100.0,6.06,11.43,38,38,0.140867,0,2,0,0,0,0,0
31,1,kitchen utensils,1,33,100.0,3.03,5.88,4,4,0.036765,0,1,0,0,0,0,0
