features,freq,normalized_freq
is a percussion instrument,13.0,0.012397
is an English word,13.0,0.012397
is curved,13.0,0.012397
is braided,13.0,0.012397
is bigger than a car,13.0,0.012397
has a cross or flat shape,13.0,0.012397
is black and white,13.0,0.012397
is rare,13.0,0.012397
you have to sit,13.0,0.012397
Jo with the banjo,13.0,0.012397
can burn you,13.0,0.012397
can be used to prick with,13.0,0.012397
be used to hit nails into the wall,13.0,0.012397
drives on a road,13.0,0.012397
transports children,13.0,0.012397
destroys,13.0,0.012397
used by work forces,13.0,0.012397
used with arrows,13.0,0.012397
used to keep food cool,13.0,0.012397
used at a ramp,13.0,0.012397
is sold in a hardware store,13.0,0.012397
sucks dust,13.0,0.012397
contains liquid,12.0,0.011019
creates a good atmosphere,12.0,0.011019
to grate cheese,12.0,0.011019
to level walls and ceilings,12.0,0.011019
used to mix food,12.0,0.011019
you wear it with a tie,12.0,0.011019
used by a witch,12.0,0.011019
made of wood and metal,12.0,0.011019
using it is fun,12.0,0.011019
is spherical,12.0,0.011019
is part of a drumset,12.0,0.011019
is a long rod,12.0,0.011019
is a piece of equipment,12.0,0.011019
is pliable,12.0,0.011019
is red,12.0,0.011019
is tiring to use,12.0,0.011019
you can live in it,12.0,0.011019
you have to push it forward,12.0,0.011019
you have to read music-scores,12.0,0.011019
can be connected to a car,12.0,0.011019
can be used to beat egg white,12.0,0.011019
can be brought to the beach,12.0,0.011019
can be written on with chalk,12.0,0.011019
can sound out of tune,12.0,0.011019
can be decorated,12.0,0.011019
polishes things,12.0,0.011019
has to be sharpened sometimes,12.0,0.011019
needs to be cleaned after use,12.0,0.011019
can be found on a camping,12.0,0.011019
played by Toots Tielemans,12.0,0.011019
requires a special drivers licence,12.0,0.011019
works on batteries,12.0,0.011019
used by indians,12.0,0.011019
used in winter,12.0,0.011019
used to open things,12.0,0.011019
used to make soup,12.0,0.011019
used for stabbing,12.0,0.011019
used for spaghetti,12.0,0.011019
sometimes used to pull out nails,12.0,0.011019
is made of sand,12.0,0.011019
you roast meat in it,11.0,0.009642
to manifacture stones,11.0,0.009642
floats on water,11.0,0.009642
has a conductor,11.0,0.009642
has a cap,11.0,0.009642
has a turning button,11.0,0.009642
has an indicator,11.0,0.009642
has big wheeles,11.0,0.009642
has a problem of scale,11.0,0.009642
has lights,11.0,0.009642
used by sculptors,11.0,0.009642
is a home appliance,11.0,0.009642
is a popular instrument,11.0,0.009642
is a sort of piano,11.0,0.009642
is violent,11.0,0.009642
is relaxing,11.0,0.009642
belongs to De lijn (public transportation firm in Flanders),11.0,0.009642
can be digital,11.0,0.009642
could be an animal,11.0,0.009642
you can put flowers in it,11.0,0.009642
can break,11.0,0.009642
sounds fiercely,11.0,0.009642
reaches till the knee,11.0,0.009642
ressembles a piano,11.0,0.009642
drives on a highway,11.0,0.009642
separates liquid from solid material,11.0,0.009642
located under a glass,11.0,0.009642
